0.0 1.96932 -2.67329
0.0 2.10769 -2.65769
0.0 2.19777 -2.62673
0.0 2.24663 -2.57705
0.0 2.26133 -2.50528
0.0 2.25616 -2.44953
0.0 2.2413 -2.3803
0.0 2.2174 -2.30048
0.0 2.18529 -2.21328
0.0 1.59734 -0.745274
0.0 0.993285 -2.09733
0.0 0.911989 -2.28143
0.0 0.861734 -2.40625
0.0 0.83636 -2.48763
0.0 0.829297 -2.54133
0.0 0.839973 -2.59159
0.0 0.87323 -2.62879
0.0 0.930547 -2.65318
0.0 1.01332 -2.66533
0.0 1.05627 -2.66779
0.0 1.12935 -2.67329
0.0 1.12935 -2.74933
0.0 0.0652828 -2.74933
0.0 0.0652828 -2.67329
0.0 0.190018 -2.65432
0.0 0.286259 -2.5938
0.0 0.377984 -2.468
0.0 0.489334 -2.25335
0.0 1.47334 -0.0572993
0.0 1.53328 -0.0572993
0.0 2.4213 -2.3013
0.0 2.50744 -2.49099
0.0 2.58274 -2.60128
0.0 2.66937 -2.65449
0.0 2.78934 -2.67329
0.0 2.78934 -2.74933
0.0 1.96932 -2.74933
1.0 1.96932 -2.67329
1.0 2.10769 -2.65769
1.0 2.19777 -2.62673
1.0 2.24663 -2.57705
1.0 2.26133 -2.50528
1.0 2.25616 -2.44953
1.0 2.2413 -2.3803
1.0 2.2174 -2.30048
1.0 2.18529 -2.21328
1.0 1.59734 -0.745274
1.0 0.993285 -2.09733
1.0 0.911989 -2.28143
1.0 0.861734 -2.40625
1.0 0.83636 -2.48763
1.0 0.829297 -2.54133
1.0 0.839973 -2.59159
1.0 0.87323 -2.62879
1.0 0.930547 -2.65318
1.0 1.01332 -2.66533
1.0 1.05627 -2.66779
1.0 1.12935 -2.67329
1.0 1.12935 -2.74933
1.0 0.0652828 -2.74933
1.0 0.0652828 -2.67329
1.0 0.190018 -2.65432
1.0 0.286259 -2.5938
1.0 0.377984 -2.468
1.0 0.489334 -2.25335
1.0 1.47334 -0.0572993
1.0 1.53328 -0.0572993
1.0 2.4213 -2.3013
1.0 2.50744 -2.49099
1.0 2.58274 -2.60128
1.0 2.66937 -2.65449
1.0 2.78934 -2.67329
1.0 2.78934 -2.74933
1.0 1.96932 -2.74933
